"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
1087 8.1801695776973e-07 4 593 "GO:0000375;GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions" 0.000530910598769964
3861 0.102261025893253 3 5 "GO:0000379" "tRNA-type intron splice site recognition and cleavage" 0.524049437015125
-432 0.524130021747532 4 61 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.862703735065543
850 0.0113072105288049 2 251 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.216112249355053
966 0.187972916621959 2 52 "GO:0000387" "spliceosomal snRNP assembly" 0.636437989744184
2717 0.0464464467812159 3 15 "GO:0000389" "mRNA 3'-splice site recognition" 0.395584623781478
1414 0.478809752001469 2 7 "GO:0000393" "spliceosomal conformational changes to generate catalytic conformation" 0.84080744988018
48 0.96228549799067 6 27 "GO:0000394;GO:0006388" "RNA splicing, via endonucleolytic cleavage and ligation" 0.992881776170593
1651 0.259887533274227 4 13 "GO:0000395" "mRNA 5'-splice site recognition" 0.701062019366556
1178 0.153921189896441 2 41 "GO:0000413" "protein peptidyl-prolyl isomerization" 0.600448009956964
2806 0.0337134544147335 -1 16 "GO:0000414" "obsolete regulation of histone H3-K36 methylation" 0.346027999147722
2273 0.196857331939766 -1 9 "GO:0000416" "obsolete positive regulation of histone H3-K36 methylation" 0.643499109004934
-444 0.485797102854033 3 69 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 0.840988296614432
445 0.686741627051503 2 23 "GO:0000423" "mitophagy" 0.920402750069378
310 0.752052072881966 4 29 "GO:0000429;GO:0045990" "carbon catabolite regulation of transcription" 0.939110710299308
-133 0.950970930783773 3 6 "GO:0000432;GO:0046016" "positive regulation of transcription by glucose" 0.989549671520174
-1319 0.480078992401659 6 8 "GO:0000433;GO:0045014;GO:0061987;GO:0045013;GO:0061986;GO:0061985;GO:0061984;GO:0043609" "carbon catabolite repression of transcription" 0.840988296614432
931 0.419538214158275 2 21 "GO:0000436;GO:0045991" "carbon catabolite activation of transcription" 0.813914849057333
3072 0.0360554034377694 6 13 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.358018888823476
1357 0.529158658868127 6 6 "GO:0000451" "rRNA 2'-O-methylation" 0.865400800456431
1773 0.288764679191343 6 10 "GO:0000459;GO:0000467;GO:0016078;GO:0071035;GO:0071038;GO:0106354" "tRNA decay" 0.726885879443719
2519 0.00228587903302194 2 41 "GO:0000460" "maturation of 5.8S rRNA" 0.105012731962803
1641 0.0061748194600194 2 78 "GO:0000462;GO:0030490" "maturation of SSU-rRNA" 0.168175618578957
