ID,log2FoldChange
TRINITY_DN4032_c0_g1_i3.p2,19.6805078397271
TRINITY_DN18517_c2_g1_i2.p1,-1.69066802633105
TRINITY_DN792_c4_g1_i3.p1,-2.35180912951132
TRINITY_DN16603_c0_g1_i8.p1,-1.98702278492622
TRINITY_DN20799_c0_g1_i1.p1,-1.61205355509429
TRINITY_DN1007_c2_g1_i2.p1,-1.900797263838
TRINITY_DN24537_c0_g1_i1.p1,-3.63130926071598
TRINITY_DN1213_c0_g1_i2.p1,-2.62604659432554
TRINITY_DN618_c1_g1_i1.p1,0.490655767416629
TRINITY_DN6843_c0_g2_i3.p1,-1.98750103339687
TRINITY_DN144762_c0_g1_i1.p1,-1.38786044333143
TRINITY_DN37908_c0_g1_i3.p1,-2.68432055082509
TRINITY_DN9249_c0_g2_i1.p1,0.759597278166765
TRINITY_DN7894_c1_g1_i3.p1,-1.70281384572151
TRINITY_DN74285_c0_g1_i5.p1,-2.27859525273774
TRINITY_DN13079_c0_g2_i1.p1,-1.9235844987196
TRINITY_DN59725_c0_g1_i1.p1,-1.49945765965605
TRINITY_DN7402_c0_g2_i1.p1,-0.554872387462872
TRINITY_DN16233_c0_g1_i1.p1,-5.93372289843525
TRINITY_DN7284_c0_g1_i7.p1,-1.45137145939794
TRINITY_DN9077_c0_g1_i1.p1,0.523985391309484
TRINITY_DN533_c0_g1_i5.p1,-0.615252107079401
TRINITY_DN9435_c5_g1_i1.p1,-1.93066043930864
TRINITY_DN32155_c0_g1_i1.p1,-1.70271052437685
TRINITY_DN21724_c0_g1_i3.p1,-1.68918753701503
TRINITY_DN648_c3_g2_i1.p1,-1.61924937068006
TRINITY_DN27679_c0_g1_i1.p1,-1.67823178527252
TRINITY_DN1293_c0_g2_i3.p1,-2.02725400707798
TRINITY_DN14962_c1_g1_i3.p1,-0.448329072924974
TRINITY_DN3671_c0_g1_i1.p1,-2.0473435764371
TRINITY_DN5281_c1_g1_i12.p1,-1.83298652627486
TRINITY_DN9130_c0_g1_i1.p1,-2.14207673379641
TRINITY_DN3038_c0_g1_i33.p1,-2.17430234910548
TRINITY_DN18069_c0_g1_i1.p1,-2.59888537109363
TRINITY_DN793_c3_g1_i7.p1,0.507696865890625
TRINITY_DN4383_c1_g3_i1.p1,-1.72943693199774
TRINITY_DN47711_c1_g4_i2.p1,-1.47489473247432
TRINITY_DN12301_c0_g1_i1.p1,0.612987752514513
TRINITY_DN84_c0_g1_i13.p1,-1.46878708144888
TRINITY_DN5665_c0_g2_i1.p1,-1.92739762253341
TRINITY_DN59635_c0_g1_i2.p1,-2.41204047396297
TRINITY_DN5413_c0_g5_i2.p1,0.725458297174992
TRINITY_DN26855_c0_g2_i2.p1,-1.48838693375498
TRINITY_DN39466_c0_g1_i1.p1,-1.6471599210843
TRINITY_DN62570_c0_g2_i1.p1,-1.75946508696153
TRINITY_DN2795_c1_g3_i1.p1,-2.05293273214305
TRINITY_DN3231_c6_g1_i1.p1,-0.513934359767016
TRINITY_DN1104_c0_g1_i1.p1,-2.66351690702922
TRINITY_DN446_c0_g1_i11.p1,-1.19039353733883
TRINITY_DN5744_c0_g1_i23.p1,-1.92902414984692
TRINITY_DN27913_c0_g2_i2.p1,-0.438545524169329
TRINITY_DN11150_c0_g1_i1.p1,-0.407653702496368
TRINITY_DN23871_c1_g1_i1.p1,-1.4869620370481
TRINITY_DN34_c0_g1_i5.p1,-1.48549510902799
TRINITY_DN32368_c0_g1_i1.p1,-1.35186423344822
TRINITY_DN19482_c0_g1_i1.p1,0.499474249639264
TRINITY_DN2115_c0_g1_i4.p1,0.579302954062025
TRINITY_DN645_c2_g6_i1.p1,-0.580554987665638
TRINITY_DN4354_c0_g1_i1.p1,-0.618268655757875
TRINITY_DN13206_c0_g1_i1.p1,-1.6723983575472
TRINITY_DN7923_c0_g1_i13.p1,-2.57946838323517
TRINITY_DN177461_c0_g1_i1.p1,-0.47327246102898
TRINITY_DN4326_c1_g1_i1.p1,0.306165508913487
TRINITY_DN2945_c4_g1_i1.p1,0.550949659382807
TRINITY_DN6953_c0_g1_i1.p1,0.448531310212939
TRINITY_DN30212_c0_g1_i1.p1,-2.09525207149024
TRINITY_DN27628_c1_g1_i4.p1,-1.24514450205397
TRINITY_DN32866_c0_g5_i1.p1,-1.92217154013519
TRINITY_DN839_c0_g1_i10.p1,-1.94187579250976
TRINITY_DN33335_c0_g1_i1.p1,-0.878738655553241
TRINITY_DN13357_c0_g1_i2.p1,0.400721756933136
TRINITY_DN3060_c0_g2_i4.p1,0.402072514344555
TRINITY_DN56817_c0_g1_i1.p1,-1.29284260344869
TRINITY_DN3405_c1_g1_i1.p1,0.718573232091993
TRINITY_DN158_c0_g4_i2.p1,-1.7598447909847
TRINITY_DN17081_c0_g1_i2.p1,-0.607293654710041
TRINITY_DN3320_c1_g1_i1.p1,0.53576103480091
TRINITY_DN6595_c0_g1_i10.p1,-2.8426501443105
TRINITY_DN45638_c0_g2_i1.p1,-0.449329287814033
TRINITY_DN2779_c0_g1_i1.p1,0.618913768646668
TRINITY_DN4278_c0_g1_i8.p1,0.80056168929997
TRINITY_DN9122_c0_g1_i1.p1,-1.49041554693687
TRINITY_DN533_c3_g1_i1.p1,-0.474529674597448
TRINITY_DN7494_c0_g1_i2.p1,-0.546225608914733
TRINITY_DN915_c22_g1_i1.p2,-1.19328345252973
TRINITY_DN2733_c0_g1_i1.p1,0.579253555119751
TRINITY_DN2598_c4_g1_i1.p1,0.294336227628021
TRINITY_DN112762_c0_g1_i2.p1,-1.51980205474164
TRINITY_DN177631_c0_g1_i2.p1,-1.4833108190167
TRINITY_DN3366_c0_g1_i1.p1,0.608809005274207
TRINITY_DN96653_c0_g1_i1.p1,1.02145202755388
TRINITY_DN10227_c0_g1_i19.p1,-1.1052656628538
TRINITY_DN1686_c0_g1_i5.p1,-1.1313948971815
TRINITY_DN16925_c0_g3_i2.p1,-1.80284463897787
TRINITY_DN899_c0_g2_i1.p1,-2.41746970391005
TRINITY_DN1905_c0_g1_i2.p1,-0.396537044848723
TRINITY_DN2055_c3_g1_i2.p1,-1.02496411135194
TRINITY_DN26482_c0_g1_i1.p1,-1.58552268757931
TRINITY_DN112593_c0_g1_i1.p1,-1.26931707336139
TRINITY_DN146080_c0_g1_i1.p1,0.621045770040982
TRINITY_DN18307_c0_g1_i1.p1,-3.0684498251034
TRINITY_DN45249_c3_g1_i1.p1,-0.452886806375916
TRINITY_DN4990_c1_g2_i2.p1,0.451513785452766
TRINITY_DN24059_c0_g1_i1.p1,-2.08158485051942
TRINITY_DN10227_c0_g1_i2.p1,-1.75988984801001
TRINITY_DN446_c0_g1_i8.p1,-2.01459646808243
TRINITY_DN42380_c0_g1_i2.p1,-2.19449253419206
TRINITY_DN11474_c0_g1_i2.p1,0.612035532937509
TRINITY_DN15940_c0_g1_i1.p1,-0.572379303165145
TRINITY_DN84_c0_g1_i10.p1,-1.12984101676736
TRINITY_DN8705_c0_g1_i10.p1,-1.59689230686494
TRINITY_DN14904_c1_g1_i1.p1,-0.559603848540151
TRINITY_DN41033_c0_g1_i1.p1,-1.40616831408895
TRINITY_DN645_c2_g3_i3.p1,-1.37012042099019
TRINITY_DN29410_c0_g1_i7.p1,0.263186832791571
TRINITY_DN31491_c0_g1_i1.p1,-0.989934816382529
TRINITY_DN6745_c0_g1_i2.p1,-1.31928976602782
TRINITY_DN6843_c1_g1_i1.p1,-1.92798011864332
TRINITY_DN72_c0_g3_i1.p1,-0.435597114951985
TRINITY_DN1010_c0_g1_i2.p1,0.960759356064318
TRINITY_DN2784_c0_g1_i1.p1,0.395455716730692
TRINITY_DN397_c7_g1_i3.p1,-0.610430063843408
TRINITY_DN5808_c0_g1_i1.p1,-0.668219299731086
TRINITY_DN27758_c0_g1_i1.p1,0.51825851959217
TRINITY_DN5376_c0_g1_i1.p3,-2.5044308292218
TRINITY_DN2618_c0_g1_i6.p1,-1.22017855076445
TRINITY_DN198_c0_g1_i2.p1,-1.52707538357769
TRINITY_DN8166_c0_g1_i1.p1,-4.44375233329559
TRINITY_DN2168_c0_g1_i1.p1,-0.938385211679529
TRINITY_DN445_c8_g1_i1.p1,-0.427695972231602
TRINITY_DN10539_c0_g1_i1.p1,0.561301112970614
TRINITY_DN53277_c0_g1_i1.p1,-1.32773959675156
TRINITY_DN14350_c0_g1_i7.p1,-3.84353474608287
TRINITY_DN13348_c1_g3_i2.p1,0.28085743461568
TRINITY_DN1197_c3_g1_i3.p1,-3.79080785214842
TRINITY_DN10612_c7_g1_i1.p1,0.339162346280926
TRINITY_DN4624_c0_g1_i4.p1,-2.2948935471922
TRINITY_DN839_c0_g1_i2.p1,-1.19238379938152
TRINITY_DN2175_c2_g3_i2.p1,0.338296963767298
TRINITY_DN27645_c1_g1_i1.p1,0.452078173404407
TRINITY_DN3232_c4_g1_i1.p1,0.530778706860763
TRINITY_DN43978_c0_g1_i2.p1,-1.43364019373865
TRINITY_DN30646_c0_g1_i1.p1,0.422982725893131
TRINITY_DN55_c7_g1_i1.p1,0.600183305887754
TRINITY_DN471_c1_g1_i4.p1,-2.60700531249467
TRINITY_DN2199_c0_g1_i2.p1,-1.58344877740568
TRINITY_DN2392_c0_g1_i17.p1,-1.73938744526055
TRINITY_DN114_c1_g1_i1.p1,-0.465420384627414
TRINITY_DN4034_c0_g1_i4.p1,-0.517530655439573
TRINITY_DN96016_c0_g1_i3.p1,-1.86899574245662
TRINITY_DN7892_c0_g1_i1.p1,-1.88061791747784
TRINITY_DN42380_c0_g3_i1.p1,-2.30334245262452
TRINITY_DN9311_c1_g1_i1.p1,-1.63864443577236
TRINITY_DN13068_c0_g2_i1.p1,-0.592192373122453
TRINITY_DN4111_c1_g2_i2.p1,-1.41074640409293
TRINITY_DN149272_c0_g1_i1.p1,-1.89004212173184
TRINITY_DN9128_c0_g3_i1.p1,-0.378910512298721
TRINITY_DN12498_c0_g1_i1.p1,0.484738576289791
TRINITY_DN2282_c0_g1_i1.p1,-0.347108644423533
TRINITY_DN5029_c16_g1_i1.p1,0.358614339040362
TRINITY_DN128778_c0_g1_i1.p1,-0.471158168091833
TRINITY_DN11096_c0_g2_i4.p1,-3.1593318911555
TRINITY_DN113671_c0_g1_i1.p1,0.463335904639915
TRINITY_DN16513_c0_g1_i1.p1,-0.28431308293829
TRINITY_DN3199_c0_g1_i1.p1,0.497603465314758
TRINITY_DN10227_c0_g1_i6.p1,-1.63554042392448
TRINITY_DN104757_c0_g1_i1.p1,-1.20281514711356
TRINITY_DN22234_c1_g1_i1.p1,0.300577501683986
TRINITY_DN2081_c0_g1_i1.p2,-0.777519817695044
TRINITY_DN2671_c0_g1_i1.p1,-0.700849085575473
TRINITY_DN76_c1_g1_i11.p1,-1.52324802761161
TRINITY_DN3590_c0_g1_i1.p1,0.616563156726266
TRINITY_DN2843_c0_g1_i1.p1,0.442994273529899
TRINITY_DN96077_c0_g1_i1.p1,-0.500626370639014
TRINITY_DN2691_c0_g1_i1.p1,-0.387282428965541
TRINITY_DN16165_c0_g1_i2.p1,0.394338514924825
TRINITY_DN112188_c0_g1_i8.p1,-0.880797436584835
TRINITY_DN16925_c0_g3_i1.p1,-3.12692954384505
TRINITY_DN16555_c0_g1_i1.p1,-1.32163953431819
TRINITY_DN42380_c0_g2_i1.p1,-2.10707776753402
TRINITY_DN11615_c0_g1_i4.p1,0.6458331421339
TRINITY_DN14533_c0_g2_i8.p1,-0.90566155873307
TRINITY_DN866_c1_g1_i1.p1,-0.657624762608126
TRINITY_DN113315_c0_g1_i1.p1,-1.74894576050227
TRINITY_DN113452_c0_g1_i1.p1,0.326522172027043
TRINITY_DN12003_c0_g1_i1.p1,-0.503394837982947
TRINITY_DN3056_c0_g1_i2.p1,-1.19632716133731
TRINITY_DN277_c6_g1_i1.p1,0.47052553613543
TRINITY_DN2987_c0_g1_i2.p1,0.500706641601947
TRINITY_DN24341_c0_g1_i11.p1,-1.25223375877606
TRINITY_DN3715_c0_g1_i13.p1,-0.338079897407451
TRINITY_DN15374_c1_g1_i12.p1,1.05042257682063
TRINITY_DN165636_c0_g1_i1.p1,-1.95781186620398
TRINITY_DN1979_c1_g1_i12.p1,0.638427291412036
TRINITY_DN47053_c1_g1_i7.p1,-1.10511262362436
TRINITY_DN1197_c0_g1_i20.p1,-2.97616928133049
TRINITY_DN336_c0_g1_i1.p1,-0.346900615129192
TRINITY_DN10238_c0_g1_i1.p1,-2.24643405971456
TRINITY_DN1768_c2_g1_i1.p1,-1.26717106394027
TRINITY_DN20120_c0_g1_i6.p1,-1.53317540204151
TRINITY_DN4649_c1_g1_i1.p1,-1.72172421068951
TRINITY_DN5239_c0_g1_i15.p1,-2.06083056098361
TRINITY_DN8401_c0_g1_i7.p1,1.23262176451826
TRINITY_DN329_c0_g1_i6.p1,-2.48367073397363
TRINITY_DN5689_c0_g1_i1.p1,-1.33812489016123
TRINITY_DN4724_c0_g1_i1.p1,-0.708357557664117
TRINITY_DN17_c0_g2_i5.p1,-2.08997932902484
TRINITY_DN24059_c0_g1_i4.p1,-1.66683201601685
TRINITY_DN5384_c0_g1_i2.p1,-0.425845392703473
TRINITY_DN7048_c0_g2_i5.p1,-1.50245045430016
TRINITY_DN12829_c0_g1_i2.p1,-0.272233841534558
TRINITY_DN20484_c0_g3_i1.p1,-0.335801012399542
TRINITY_DN446_c0_g1_i16.p1,-1.61810211203623
TRINITY_DN29082_c0_g1_i1.p1,-0.352637162317981
TRINITY_DN16925_c0_g2_i2.p1,-1.77335250016075
TRINITY_DN35233_c0_g1_i1.p1,0.331347171859187
TRINITY_DN6896_c0_g1_i1.p1,-1.28058608914996
TRINITY_DN1688_c1_g1_i3.p1,-1.32917391605369
TRINITY_DN4590_c1_g1_i2.p1,-1.70330304928961
TRINITY_DN17431_c0_g1_i1.p1,0.429582239245072
TRINITY_DN14390_c0_g1_i14.p1,-1.71583983223561
TRINITY_DN15249_c0_g1_i5.p1,-1.62218257314952
TRINITY_DN10410_c0_g1_i2.p1,1.33814078351245
TRINITY_DN12934_c0_g1_i1.p1,-0.460303498161136
TRINITY_DN549_c0_g1_i1.p1,-1.90993395564865
TRINITY_DN5074_c0_g1_i1.p1,-0.310164352570051
TRINITY_DN113458_c0_g1_i1.p1,-1.37607043579489
TRINITY_DN20820_c0_g2_i1.p1,-1.24997020681088
TRINITY_DN34164_c0_g1_i1.p1,-1.57931000870058
TRINITY_DN6377_c0_g1_i2.p1,-0.67156195068943
TRINITY_DN43974_c0_g1_i1.p1,-1.18316881849397
TRINITY_DN11229_c0_g1_i4.p1,-2.65270888085322
TRINITY_DN16915_c0_g1_i1.p1,0.582658052497114
TRINITY_DN2321_c0_g1_i1.p1,-1.45654724175815
TRINITY_DN844_c0_g1_i4.p1,-0.612241226526084
TRINITY_DN68828_c1_g2_i1.p1,0.492137460417163
TRINITY_DN390_c0_g1_i7.p1,-1.5442568763663
TRINITY_DN7817_c0_g1_i3.p1,0.495897696082049
TRINITY_DN22794_c0_g1_i1.p1,-0.825663231314899
TRINITY_DN18046_c0_g1_i1.p1,1.21423409090854
TRINITY_DN15616_c0_g1_i4.p1,-0.561489013971963
TRINITY_DN16031_c0_g1_i7.p1,-6.60729565293607
TRINITY_DN164309_c0_g1_i1.p1,0.522685347214025
TRINITY_DN5060_c4_g1_i1.p1,-0.663541734519412
TRINITY_DN1111_c0_g1_i9.p1,1.2969721521379
TRINITY_DN3019_c0_g1_i1.p1,-0.401823688278918
TRINITY_DN99754_c0_g1_i1.p1,0.505469147548064
TRINITY_DN15931_c0_g1_i1.p1,-1.01377539598437
TRINITY_DN33565_c0_g1_i3.p1,0.356806844126845
TRINITY_DN64917_c0_g3_i2.p1,-0.3029826723608
TRINITY_DN17057_c0_g1_i3.p1,-0.362032564273831
TRINITY_DN160_c1_g1_i12.p1,-1.03025795672578
TRINITY_DN178189_c0_g1_i1.p1,-0.770077067583887
TRINITY_DN3160_c1_g1_i12.p1,-2.47929484203843
TRINITY_DN14171_c2_g1_i1.p1,0.364508226206967
TRINITY_DN2980_c4_g1_i2.p1,1.4926839575643
TRINITY_DN9313_c0_g1_i1.p1,0.24537036646152
TRINITY_DN96687_c0_g1_i1.p1,-0.730474542544277
TRINITY_DN24880_c0_g1_i2.p1,-0.446625583978776
TRINITY_DN4189_c0_g1_i2.p1,-1.70129000360824
TRINITY_DN9611_c0_g1_i1.p1,0.420130311399819
TRINITY_DN47746_c0_g1_i1.p1,-1.53434181513853
TRINITY_DN9014_c0_g2_i3.p1,-2.21676832441095
TRINITY_DN3458_c1_g1_i1.p1,-0.512967732292083
TRINITY_DN5203_c0_g1_i7.p1,-1.07060516196779
TRINITY_DN8115_c0_g1_i1.p1,-0.717494433231803
TRINITY_DN33185_c0_g1_i1.p1,-0.31649320252144
TRINITY_DN9863_c0_g1_i11.p1,1.48889443953429
TRINITY_DN3180_c0_g1_i2.p1,-0.812786914563875
TRINITY_DN18249_c0_g1_i2.p1,-2.38914468906751
TRINITY_DN4053_c0_g1_i1.p1,-0.325972912650719
TRINITY_DN5128_c0_g2_i1.p1,0.19294458469115
TRINITY_DN130818_c0_g1_i1.p1,-1.58952424757567
TRINITY_DN1974_c0_g1_i4.p1,-0.852569049126527
